idx,title,url,updated,recMod,header,topics,language,notes,urlOtherTitle,urlOther
151,Moving MCVersions.net with Sites,https://nodecraft.com/blog/development/moving-mcversions-serverless-with-cloudflare-workers-sites,2020-02-06,2020-02-23,,"Sites,article",,,,
152,Blogging w/Gatsby & headless Ghost CMS,https://www.mskog.com/posts/changing-my-blog-from-hugo-to-gatsby/,2020-02-15,2020-02-23,,"CMS,article",,,,
153,CFW Webpack Boilerplate,https://github.com/detroitenglish/cloudflare-workers-webpack-boilerplate,2019-07-12,2020-02-25,,"tool,template,deploy",ES2017,"A minimal-config template for building, bundling and deploying Cloudflare Workers with Webpack",,
154,Security Headers,https://scotthelme.co.uk/security-headers-cloudflare-worker/,2018-03-18,2020-03-03,,"security,article",,set security headers when you use certain hosted solutions like Ghost Pro or GitHub Pages,,
155,Wes Bros tries CfWorkers,https://youtu.be/48NWaLkDcME,2020-02-18,2020-03-18,,"article,example",ES2017,Popular JS instructor tries out CfWorkers,,
156,API for COVID-19 stats in India,https://github.com/amodm/api-covid19-in,2020-03-17,2020-03-18,emergency-management,"REST,health,CORVID19",ES2017,scrapes Ministry of Health and Family Welfare & unofficial sources,,
157,US COVID-19 APIs,https://github.com/COVID19Tracking/website/,2020-06-08,2020-06-10,emergency-management,"REST,GraphQL,CORVID19",ES2017,scraped & hand-verifed Coronavirus data by county & states in USA,GraphQL Playground,https://covidtracking.com/api/playground
158,Siujoeng-Lau/Workers-Proxy,https://github.com/Siujoeng-Lau/Workers-Proxy,2020-02-15,2020-03-18,app,"proxy,localization",ES2017,has many examples,demo,https://cdn.reverse-proxy.live/
159,various @ nchlswhttkr/workers,https://github.com/nchlswhttkr/workers,2020-03-18,2020-03-18,msc,"route,Slack,tool",ES2017,"Rush/pnpm mono repo: GoLang interpreter, newsletter, WebHooks, +",,
160,GitHub star counter ,https://github.com/idealclover/GitHub-Star-Counter,2020-05-20,2020-07-03,,"service,GitHub",TypeScript,,,
161,workers-typescript-template,https://github.com/EverlastingBugstopper/worker-typescript-template,2020-06-02,2020-06-10,,template,TypeScript,"with mocha tests, prettier",,
162,Workers for www.mozilla.org,https://github.com/mozmeao/www-workers,2020-03-16,2020-03-18,,,ES2017,,,
163,Workers KV  - file hosting,https://github.com/judge2020/cloudflare-file-hosting,2020-03-15,2020-03-18,,"KV,static",ES2017,,,
164,Advanced Business Application Programming Template,https://github.com/open-abap/cloudflare-abap-template,2020-03-15,2020-03-18,,"ABAP,template",ES2017,,,
165,GraphQL Gateway Example,https://github.com/primaryfit/api,2019-09-18,2020-03-18,,GraphQL,ES2017,Uses graphql/graphql & dataloader ,,
166,CLI KV store tool,https://github.com/saibotsivad/cloudflare-worker-key-value,2020-02-08,2020-03-18,tool,"CLI,KV",ES2017,,,
167,Polyfill the worker API for local testing,https://github.com/digi3colin/node-cloudflare-worker-test-utils,2020-03-13,2020-03-18,,test,ES2017,,,
168,Official Gatsby deployment docs,https://www.gatsbyjs.org/docs/deploying-to-cloudflare-workers/,2020-03-25,2020-03-26,official,"GatsbyJS,deploy,article",,,,
169,Edgesearch,https://github.com/wilsonzlin/edgesearch,2020-06-10,2020-06-10,boss,"search,WASM",Rust,"full-text search using, WebAssembly & Roaring Bitmaps",,
171,Typescript Server & Client Template,https://github.com/GregBrimble/cf-workers-typescript-template,2020-06-10,2020-06-10,,"template,frontend",TypeScript,Typescript Server & Client Template,,
172,TypeScript Boilerplate for Node.js,https://github.com/mastermunj/worker-typescript-boilerplate,2020-06-10,2020-06-10,,template,TypeScript,"EsLint, Prettier, GI actions, Jest, etc",,
173,Workers Types,https://github.com/cloudflare/workers-types,2020-06-09,2020-06-10,,,TypeScript,TypeScript type definitions ,,
174,workers-asset-cache,https://github.com/MaxRatmeyer/workers-asset-cache,2020-06-08,2020-06-10,,"proxy,cache",ES2017,proxy static content from external sources like S3 or Google Cloud ,blog,https://maxratmeyer.com/blog/caching-images-on-the-edge-with-s3-and-workers-kv/
175,simple TODOs,https://github.com/signalnerve/cloudflare-workers-todos,,2020-06-10,,app,ES2017,,demo,https://todo.kristianfreeman.com/
176,Golinks,https://github.com/ryanpbrewster/golinks,2020-06-08,2020-06-10,,route,ES2017,short-links,,
177,Google Pub/Sub API ,https://github.com/sagi/workers-pubsub,2020-06-04,2020-06-10,API,"route,pub-sub",ES2017,,,
178,Generate JWTs using the WebCrypto API ,https://github.com/sagi/workers-jwt,2020-06-04,2020-06-10,security,,ES2017,,,
179,Learning serverless API functions ,https://github.com/hchiam/learning-cloudflare,2020-06-02,2020-06-10,,setup,ES2017,,,
180,Cloudflare Workers <3 Create React App,https://github.com/juiceo/cloudflare-worker-cra,2020-03-07,2020-07-03,tool,"ReactJS,template",ES2017,,,
181,,https://github.com/xtlsoft/cloudflare-workers-comment-server,2019-06-29,2020-07-03,,"GitHub,service",ES2017,,,
182,various,https://github.com/netnr/workers,2020-06-21,2020-07-03,Chinese,security,ES2017,,,
183,Wrangler GitHub Action,https://github.com/cloudflare/wrangler-action,2020-07-02,2020-07-03,official,"GitHub,deploy",Docker,Zero-config Cloudflare Workers deployment ,,
184, Berkeley-Reject / workers-proxy,https://github.com/Berkeley-Reject/workers-proxy,2020-06-12,2020-07-03,,proxy,ES2017,lightweight Reverse Proxy with configs,,
185,,,,,,,,,,
186,DB Connect,https://github.com/cloudflare/db-connect,2019-11-19,2020-08-15,,"tool,template,library",TypeScript,Connect your SQL database to Cloudflare Workers using Argo & Access (beta),,
187,lil redirector,https://github.com/signalnerve/lilredirector,2020-08-01,2020-08-15,,"CDN,library",ES2015,a simple redirector engine for cloudflare workers,,
188,Webpack Example,https://github.com/cloudflare/workers-webpack-example,2018-06-01,2020-08-15,,template,ES2015,It's an example of how to do webpack in workers.,,
189,Edge API Template,https://github.com/p-j/worker-eapi-template,2020-12-01,2021-03-25,,"template,example,setup",ES2017,"A template to kickstart scalable Edge API projects using Typescript, a Router & a Middleware Stack",Edge API Packages (compatible middlwares & utilities),https://github.com/p-j/eapi
190,Forex via SQL,https://github.com/lspgn/edge-sql,2021-01-18,2021-03-25,,"SQL,KV",,embedding SQLite with WASM and a simple Forex dataset,,
191,Url-Shorten-Worker,https://github.com/xyTom/Url-Shorten-Worker,2021-02-22,2021-03-25,,proxy,ES2017,,,
192,worktop routing framework,https://github.com/lukeed/worktop,2021-03-25,2021-03-25,API,"service,API,route",TypeScript,Express-like routing/API server specific to CfW,,
193,build and deploy utility,https://github.com/lukeed/cfw,2021-03-25,2021-03-25,,deploy,TypeScript,,,
194,lite bundler and publisher,https://github.com/adaptive/workers-ci,2021-03-25,2021-03-26,tool,"CI/CD,deploy",ES2017,"continuous integration lite tool, bundler and publisher",,
195,KV for S3,https://github.com/adaptive/kv,2021-03-25,2021-03-26,,KV,ES2017,,,
196,storing Cookie Consents in the KV,https://github.com/finsweet/cookie-consent-worker,2021-03-25,2021-03-26,,,,,,
197,Index Google Drive Files ,https://github.com/ParveenBhadooOfficial/Google-Drive-Index,2021-03-24,2021-03-26,,proxy,,,,
198,http-rust-cfworker,https://github.com/EstebanBorai/http-rust-cfworker,2021-03-24,2021-03-26,,"API,`",Rust,,,
199,Contentful with Next.js using NESI,https://github.com/uniformdev/uniform-optimize-next-contentful-cloudflare-nesi-starter,2021-03-24,2021-03-26,,,,,,
200,Build reading plan,https://github.com/itzsaga/reading-plan-worker,2021-03-24,2021-03-26,,,,,,
